word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
ציונ,Amos,Amos 1:2,1,818350,4,ציונ,0.2661862,42.302917,true,-4.4276924
ציונ,Amos,Amos 6:1,1,822883,4,ציונ,0.33395422,42.302917,true,-2.893092
ציונ,Daniel,Daniel 11:44,-1,1063420,4,ציונ,0.38357228,42.302917,true,-1.769495
ציונ,Deuteronomy,Deuteronomy 3:1,-1,254533,4,ציונ,0.27086917,42.302917,true,-4.3216476
פדה,Deuteronomy,Deuteronomy 6:91,-1,262144,3,פדה,0.34597364,42.302917,true,-2.620913
פדה,Deuteronomy,Deuteronomy 9:4,-1,265531,3,פדה,0.3041395,42.302917,true,-3.5682437
מושיע,Deuteronomy,Deuteronomy 22:72,1,285430,5,מושיע,0.31516227,42.302917,true,-3.3186338
מושיע,Deuteronomy,Deuteronomy 82:92,1,293011,5,מושיע,0.3028665,42.302917,true,-3.5970707
מושיע,Deuteronomy,Deuteronomy 82:13,1,293135,5,מושיע,0.3099668,42.302917,true,-3.4362848
ציונ,Exodus,Exodus 6:31,-1,85449,4,ציונ,0.28734595,42.302917,true,-3.948532
ציונ,Exodus,Exodus 1:6,-1,91950,4,ציונ,0.23540518,42.302917,true,-5.1247263
פדה,Exodus,Exodus 31:31,1,97410,3,פדה,0.3030902,42.302917,true,-3.5920045
פדה,Exodus,Exodus 31:31,1,97422,3,פדה,0.3030902,42.302917,true,-3.5920045
פדה,Exodus,Exodus 31:31,1,97447,3,פדה,0.3030902,42.302917,true,-3.5920045
פדה,Exodus,Exodus 31:51,1,97619,3,פדה,0.31288248,42.302917,true,-3.3702595
פדה,Exodus,Exodus 12:8,1,108463,3,פדה,0.33791026,42.302917,true,-2.8035076
פדה,Exodus,Exodus 43:2,1,130103,3,פדה,0.34254318,42.302917,true,-2.6985953
פדה,Exodus,Exodus 43:2,1,130115,3,פדה,0.34254318,42.302917,true,-2.6985953
פדה,Exodus,Exodus 43:2,1,130135,3,פדה,0.34254318,42.302917,true,-2.6985953
ציונ,Exodus,Exodus 53:2,-1,131790,4,ציונ,0.2919732,42.302917,true,-3.8437483
פדה,Ezekiel,Ezekiel 7:25,1,737847,3,פדה,0.33320004,42.302917,true,-2.91017
פדה,Ezekiel,Ezekiel 34:21,-1,779985,3,פדה,0.35541075,42.302917,true,-2.4072104
ציונ,Ezekiel,Ezekiel 39:15,1,787840,4,ציונ,0.2959778,42.302917,true,-3.7530646
ציונ,Genesis,Genesis 21:5,-1,14403,4,ציונ,0.31563914,42.302917,true,-3.3078353
ציונ,Genesis,Genesis 73:12,-1,55140,4,ציונ,0.3302304,42.302917,true,-2.977417
מושיע,Hosea,Hosea 13:4,1,813470,5,מושיע,0.37226838,42.302917,true,-2.025471
ציונ,I Chronicles,I Chronicles 11:5,1,1120163,4,ציונ,0.27854827,42.302917,true,-4.1477547
לפדות,I Chronicles,I Chronicles 17:21,1,1130331,5,לפדות,0.30370757,42.302917,true,-3.5780246
פדה,I Kings,I Kings 1:29,1,479729,3,פדה,0.3246708,42.302917,true,-3.1033142
ציונ,I Kings,I Kings 8:1,1,494203,4,ציונ,0.2421991,42.302917,true,-4.9708786
ציונ,I Kings,I Kings 9:26,1,500156,4,ציונ,0.28312805,42.302917,true,-4.044046
ציונ,I Kings,I Kings 16:17,-1,514268,4,ציונ,0.29723996,42.302917,true,-3.724483
ציונ,I Kings,I Kings 22:49,1,528623,4,ציונ,0.33837047,42.302917,true,-2.793086
ציונ,I Samuel,I Samuel 5:2,-1,390245,4,ציונ,0.32925755,42.302917,true,-2.9994476
ציונ,I Samuel,I Samuel 10:1,-1,396925,4,ציונ,0.3427565,42.302917,true,-2.6937647
מושיע,I Samuel,I Samuel 10:19,1,398128,5,מושיע,0.3254682,42.302917,true,-3.0852566
מושיע,I Samuel,I Samuel 11:3,1,398852,5,מושיע,0.3189169,42.302917,true,-3.2336109
ציונ,I Samuel,I Samuel 11:7,-1,399106,4,ציונ,0.3212515,42.302917,true,-3.1807435
מושיע,I Samuel,I Samuel 14:39,1,405222,5,מושיע,0.2517646,42.302917,true,-4.7542686
ציונ,I Samuel,I Samuel 24:9,-1,423897,4,ציונ,0.30160382,42.302917,true,-3.6256638
ציונ,II Chronicles,II Chronicles 5:2,1,1152554,4,ציונ,0.23851497,42.302917,true,-5.0543056
ציונ,II Chronicles,II Chronicles 8:17,1,1158867,4,ציונ,0.33896035,42.302917,true,-2.7797284
ציונ,II Chronicles,II Chronicles 20:36,1,1175196,4,ציונ,0.31057477,42.302917,true,-3.4225175
ציונ,II Chronicles,II Chronicles 32:11,-1,1193494,4,ציונ,0.35036597,42.302917,true,-2.521449
פדה,II Kings,II Kings 4:27,-1,535225,3,פדה,0.28493476,42.302917,true,-4.0031333
ציונ,II Kings,II Kings 9:3,-1,544014,4,ציונ,0.2935463,42.302917,true,-3.808126
מושיע,II Kings,II Kings 13:5,1,551897,5,מושיע,0.29455528,42.302917,true,-3.7852774
ציונ,II Kings,II Kings 17:5,-1,559064,4,ציונ,0.26856893,42.302917,true,-4.373736
ציונ,II Kings,II Kings 18:9,-1,562099,4,ציונ,0.25859764,42.302917,true,-4.599535
ציונ,II Kings,II Kings 19:21,1,565436,4,ציונ,0.32863674,42.302917,true,-3.0135057
ציונ,II Kings,II Kings 19:31,1,566030,4,ציונ,0.28547016,42.302917,true,-3.9910092
ציונ,II Kings,II Kings 23:17,1,572297,4,ציונ,0.4044538,42.302917,true,-1.2966344
פדה,II Samuel,II Samuel 4:9,1,442107,3,פדה,0.35095423,42.302917,true,-2.508128
ציונ,II Samuel,II Samuel 5:7,1,442838,4,ציונ,0.25309116,42.302917,true,-4.724229
לפדות,II Samuel,II Samuel 7:23,1,446505,5,לפדות,0.3086869,42.302917,true,-3.465268
ציונ,II Samuel,II Samuel 11:1,-1,450158,4,ציונ,0.32967913,42.302917,true,-2.9899008
ציונ,Isaiah,Isaiah 1:8,1,577498,4,ציונ,0.33594105,42.302917,true,-2.8481002
ציונ,Isaiah,Isaiah 1:27,1,578381,4,ציונ,0.3489898,42.302917,true,-2.552612
פדה,Isaiah,Isaiah 1:27,1,578391,3,פדה,0.3747055,42.302917,true,-1.9702827
ציונ,Isaiah,Isaiah 2:3,1,578731,4,ציונ,0.341391,42.302917,true,-2.7246866
ציונ,Isaiah,Isaiah 3:16,1,580281,4,ציונ,0.3732885,42.302917,true,-2.00237
ציונ,Isaiah,Isaiah 3:17,1,580361,4,ציונ,0.3405499,42.302917,true,-2.7437334
ציונ,Isaiah,Isaiah 4:3,1,580823,4,ציונ,0.32053912,42.302917,true,-3.1968756
ציונ,Isaiah,Isaiah 4:4,1,580887,4,ציונ,0.30557847,42.302917,true,-3.5356581
ציונ,Isaiah,Isaiah 4:5,1,580946,4,ציונ,0.34712976,42.302917,true,-2.5947328
גואל,Isaiah,Isaiah 7:13,-1,583954,4,גואל,0.30583102,42.302917,true,-3.5299394
ציונ,Isaiah,Isaiah 8:18,1,585459,4,ציונ,0.31948438,42.302917,true,-3.22076
ציונ,Isaiah,Isaiah 10:12,1,587300,4,ציונ,0.28213665,42.302917,true,-4.0664964
ציונ,Isaiah,Isaiah 10:24,1,587968,4,ציונ,0.36214256,42.302917,true,-2.254769
ציונ,Isaiah,Isaiah 10:32,1,588302,4,ציונ,0.3562048,42.302917,true,-2.389229
ציונ,Isaiah,Isaiah 12:6,1,589527,4,ציונ,0.4044519,42.302917,true,-1.2966777
ציונ,Isaiah,Isaiah 14:32,1,592022,4,ציונ,0.33850038,42.302917,true,-2.7901444
ציונ,Isaiah,Isaiah 16:1,1,592535,4,ציונ,0.35946023,42.302917,true,-2.3155103
ציונ,Isaiah,Isaiah 18:7,1,594438,4,ציונ,0.34525263,42.302917,true,-2.6372402
מושיע,Isaiah,Isaiah 19:20,1,595481,5,מושיע,0.29267323,42.302917,true,-3.8278964
פדה,Isaiah,Isaiah 22:19,-1,597761,3,פדה,0.3365434,42.302917,true,-2.8344598
ציונ,Isaiah,Isaiah 24:23,1,599926,4,ציונ,0.3466918,42.302917,true,-2.6046507
ציונ,Isaiah,Isaiah 25:5,1,600150,4,ציונ,0.33322537,42.302917,true,-2.9095964
ציונ,Isaiah,Isaiah 28:16,1,602972,4,ציונ,0.3509936,42.302917,true,-2.5072365
ציונ,Isaiah,Isaiah 29:8,1,604086,4,ציונ,0.34339184,42.302917,true,-2.6793778
